From	Entry	Interacts with
P02768	P02768	P02768; P02786; Q8N5Z5; Q6GQQ9-2; Q07869; Q09028; Q86WT6-2; O76024
P02795	P02795	P02649; Q96A83-2; O14645; Q8TE69; P21333-2; P42858; Q9UMF0; O14901; P31153; Q9BVL2; A0A6Q8PF08; Q15139; P37840; P14678-2; P58062
P03372	P03372	Q12802; Q03989; Q6XD76; Q9Y294; Q8IXJ9; Q6PL18; P18846; P62952; P38398; P20290-2; Q86Y37; P29279; P17676; Q99966; Q9H467; Q9NV06; O00429; O60869; P00533; P03372; Q12778; O43524; Q9Y3R0; O00165; Q6NYC1; O15054; O14686; O95835; Q6ZQX7-4; Q9Y6C7; Q96Q04; Q9BQ69; Q00987; Q15648; P60660; Q15788; Q15596; Q9Y6Q9; Q9UN36; PRO_0000030311 [P19838]; Q96RI1-3; Q9BZ95; Q9BTK6; Q96AQ6-1; P06401; P06401-1; Q99623; P36873; P53041; P55345; P60763; O43251; Q04206; Q14151; Q96HI0; P08047; Q02447; O43791; P12931; P42229; O15164; Q16881-4; Q9UBK9; O76024; Q8N895; P59598; P05627; Q9JLI4; Q60974; P62962; P00523; P03372-1; Q92731; Q92993; Q96AQ6-1; P00533; P29353; P12931
P04049	P04049	P31749; P05067; Q99933; O95816; P15056; Q14790; P49368; P30304; Q16543; P31327; P00533; O15371; O95714; P01112; P07900; P08238; P11021; P01116; P01116-2; P05783; P08727; Q8IVT5; Q02750; P36507; Q15773; Q12968; P01111; O43482; Q13153; Q13177; Q6TCH7; P30086; Q96S96; Q13526; P14618; P62136; P67775; Q13362; P04049; P62834; P06400; P53805-2; P31947; Q13485; Q13188; Q9UNE7; Q3ZCQ8; P31946; P62258; P61981; Q04917; P27348; P63104; P32883; P28301; Q9ESN9-2; P03495; O39474; P01120
P04062	P04062	P17987
P04150	P04150	P31749; P01730; P00533; P41235; P07900; Q6ZU52; P06239; P28702; Q14141; O95416; P82094; P59598; Q62667; Q61026
P04156	P04156	Q9UL18; Q9UKV8; P05067; P05067-4; PRO_0000000092 [P05067]; Q8WXF7; P25311; P55085; Q13642; O75084; P49639; P42858; P10636; P29372; Q9BSJ6; Q9H4B4; Q06830; P04156; Q8N6K7-2; Q8CJG0; P04925; P10279; P23907; P31424-2; P52480
P04183	P04183	P05067; A0A087WZT3; Q92993; Q1RN33; P04183
P04271	P04271	P01023; Q15109; Q06481-5; P05067; Q13867; Q9UQM7; P27824-2; P52907; Q86YQ8-2; Q9UGL9; P48730-2; O75553-5; O14576-2; P21860; P0DMV8; Q8TBB1; Q07954-2; Q00987; O15151; Q13015; P35579; P41271-2; Q15843; P62136; P17612; P63000; Q15418; P23297; Q5T7Y6; P31949; P29034; P26447; P06703; P06702; P04271; P25815; Q8WXG8; O00560; Q92599-3; Q9NZD8; P04637; Q9Y4K3; P13051-2; P17028; P32502
P04406	P04406	Q6UY14-3; Q9UIJ7; P05067; Q9UQM7; Q14194; P35222; Q9BPW9-4; P00533; O00471; O75344; P06241; P04406; O14556; Q8NEA9; P42858; Q92993-2; P42695; P35228; P12004; P00558; P48147; P17612; Q8WUY3; Q9UHX1-2; P15927; P05109; Q96GZ6; P00441; Q9BSI4; P10599
P04626	P04626	P00519; P42684; P15309; P60709; Q92625; O00213; O75815; Q9HB71; Q16543; Q9NSE2; Q7Z7G1; P46109; Q93034; Q99704; Q8TEW6; Q15075; P98172; P00533; P04626; P21860; Q15303; Q9UJM3; P09769; P06241; O75791; P62993; Q14451; P07900; P08238; P14625; P11021; P46940; P35568; Q08881; P23458; Q14974; Q96JA1; O75367; O75367-3; Q9UQF2; Q13387; P42679; Q9Y316; O43639; Q02297-7; O00750; P27986; O00459; Q92569; P19174; P16885; O95602; Q13882; Q06124; Q05209; Q99952; Q99952-1; P23467; P08575; Q12913; Q15262; Q16827; Q15256; P49792; P20936; O95980; Q9NP31; P29353; P98077; Q92529; Q9H6Q3; O15524; O43791; P12931; P42224; P40763; P31948; Q7KZ85; P43405; Q9Y490; Q63HR2; Q68CZ2; Q96D37; P52735; O14980; P62258
P04629	P04629	P05067-4; P22681; P08238; P01138; PRO_0000019600 [P01138]; P04629; Q16288; P27986; P19174; P18031; Q99523; Q13501; P35590; O75385; Q8K4V6
P05023	P05023	P05026; Q92597; P13693
